,method_name,cache,content,create,encoding,error,global,identifier,none,object,parameter,standalone,subset,uri,user
29,addNewGrammarComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,addNewGrammarLocations,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,addNewImportedGrammars,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,addRelatedAttribute,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,addRelatedElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,addRelatedType,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,canAddComponent,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,canAddComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,changeRedefineGroup,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,checkForDuplicateNames,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,constructTrees,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,containedImportedGrammar,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,doc2SystemId,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,element2Locator,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,emptyString2Null,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,existingGrammars,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,expandComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,expandGrammars,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,expandImportList,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,expandRelatedAttributeComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,expandRelatedAttributeGroupComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,expandRelatedAttributeUseComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,expandRelatedAttributeUsesComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,expandRelatedComplexTypeComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,expandRelatedComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,expandRelatedElementComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,expandRelatedModelGroupComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,expandRelatedModelGroupDefinitionComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,expandRelatedParticleComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,expandRelatedSimpleTypeComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,expandRelatedTypeComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,fillInLocalElemInfo,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,findDependentNamespaces,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,findGrammar,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,findQName,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,findXSDocumentForDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,getGrammar,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,getGrpOrAttrGrpRedefinedByRestriction,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,getIDConstraintDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,getIDRegistry,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,getIDRegistry_sub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,getSchemaDocument,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,getSchemaDocument0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,getSchemaDocument1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,getSchemaGrammar,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,isExistingGrammar,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,null2EmptyString,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,parseSchema,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,prepareForParse,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,prepareForTraverse,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,removeParticle,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,renameRedefiningComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,reportSchemaWarning,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,reset,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,resolveKeyRefs,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,resolveSchema,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,resolveSchemaSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,schemaDocument2SystemId,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,setDVFactory,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,setDeclPool,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,setGenerateSyntheticAnnotations,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,setSchemasVisible,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,storeKeyRef,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,traverseLocalElements,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,traverseSchemas,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,updateImportDependencies,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,updateImportList,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,updateImportListFor,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,updateImportListWith,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,validateAnnotations,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,createAnnotationValidator,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,createGrammarFrom,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,createTraversers,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,needReportTNSError,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,reportSchemaError,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,reportSharingError,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,nonAnnotationContent,0,1,0,0,0,0,0,0,0,0,0,0,0,0
